4 MILK 
2267 POLICEMAN 
2270 HARVEY MILK 
2273 POLICEMAN 
2276 HARVEY MILK 
2285 HARVEY MILK 
2295 CLEVE JONES 
2298 HARVEY MILK 
2310 DICK PABICH 
2314 HARVEY MILK 
2337 HARVEY MILK 
2374 HARVEY MILK 
2398 HARVEY MILK 
2418 HARVEY MILK 
2435 HARVEY MILK 
2457 DAN WHITE 
2474 HARVEY MILK 
2478 SCOTT SMITH 
2481 HARVEY MILK 
2488 SCOTT SMITH 
2496 HARVEY MILK 
2500 SCOTT SMITH 
2504 HARVEY MILK 
2521 SCOTT SMITH 
2530 HARVEY MILK 
2534 SCOTT SMITH 
2546 HARVEY MILK 
2557 JIM RIVALDO 
2560 HARVEY MILK 
2566 DICK PABICH 
2569 HARVEY MILK 
2591 ANNE KRONENBERG 
2598 MICHAEL WONG 
2602 JIM RIVALDO 
2606 HARVEY MILK 
2610 DICK PABICH 
2613 HARVEY MILK 
2617 JIM RIVALDO 
2621 ANNE KRONENBERG 
2624 MICHAEL WONG 
2627 HARVEY MILK 
2631 MICHAEL WONG 
2634 ANNE KRONENBERG 
2651 HARVEY MILK 
2659 ANNE KRONENBERG 
2675 RICK STOKES 
2679 ANNE KRONENBERG 
2684 RICK STOKES 
2691 ANNE KRONENBERG 
2698 DICK PABICH 
2712 RICK STOKES 
2716 DICK PABICH 
2745 HARVEY MILK 
2749 ANNE KRONENBERG 
2752 CLEVE JONES 
2758 HARVEY MILK 
2779 CLEVE JONES 
2785 GAY MAN 
2794 JACK LIRA 
2799 HARVEY MILK 
2802 JACK LIRA 
2835 JACK LIRA 
2840 HARVEY 
2845 JACK LIRA 
2848 HARVEY 
2855 JACK LIRA 
2864 HARVEY MILK 
2885 RICK STOKES 
2898 CLEVE JONES 
2901 DAVID GOODSTEIN 
2905 HARVEY MILK 
2909 JACK LIRA 
2914 HARVEY MILK 
2919 CLEVE JONES 
2924 JACK LIRA 
2929 HARVEY MILK 
2934 JIM RIVALDO 
2939 HARVEY MILK 
2942 JIM RIVALDO 
2944 YES 
2960 CHANNEL REPORTER 
2967 HARVEY MILK 
2987 HARVEY MILK 
3053 HARVEY MILK 
3056 DAN WHITE 
3059 HARVEY MILK 
3064 DAN WHITE 
3067 HARVEY MILK 
3089 DAN WHITE 
3092 HARVEY MILK 
3097 DAN WHITE 
3107 HARVEY MILK 
3111 CLEVE JONES 
3114 HARVEY MILK 
3117 CLEVE JONES 
3121 HARVEY MILK 
3134 HARVEY MILK 
3159 ANNE KRONENBERG 
3162 HARVEY MILK 
3169 HARVEY MILK 
3177 MICHAEL WONG 
3180 HARVEY MILK 
3187 JIM RIVALDO 
3192 HARVEY MILK 
3197 DAN WHITE 
3219 HARVEY MILK 
3222 DAN WHITE 
3227 ANNE KRONENBERG 
3230 HARVEY MILK 
3251 HARVEY 
3254 JACK LIRA 
3259 HARVEY 
3262 JACK LIRA 
3266 HARVEY 
3279 JACK LIRA 
3284 HARVEY 
3289 JACK LIRA 
3295 HARVEY MILK 
3303 JACK LIRA 
3306 HARVEY MILK 
3309 JACK LIRA 
3316 HARVEY MILK 
3320 JACK LIRA 
3340 HARVEY MILK 
3344 JACK LIRA 
3360 HARVEY MILK 
3366 DAN WHITE 
3371 HARVEY MILK 
3374 DAN WHITE 
3378 HARVEY MILK 
3381 DAN WHITE 
3388 HARVEY MILK 
3402 DAN WHITE 
3406 HARVEY MILK 
3409 DAN WHITE 
3415 HARVEY MILK 
3418 DAN WHITE 
3424 HARVEY MILK 
3427 DAN WHITE 
3434 HARVEY MILK 
3439 DAN WHITE 
3443 HARVEY MILK 
3450 HARVEY MILK 
3471 DICK PABICH 
3478 MICHAEL WONG 
3483 HARVEY MILK 
3488 CLEVE JONES 
3493 HARVEY MILK 
3497 CLEVE JONES 
3501 MICHAEL WONG 
3505 HARVEY MILK 
3510 CLEVE JONES 
3513 HARVEY MILK 
3516 DICK PABICH 
3529 HARVEY MILK 
3540 ANNE KRONENBERG 
3549 HARVEY MILK 
3553 CLEVE JONES 
3557 HARVEY MILK 
3574 JOHN BRIGGS 
3598 TOM AMMIANO 
3602 JOHN BRIGGS 
3606 ANOTHER PROTESTER 
3609 JOHN BRIGGS 
3641 DAVID GOODSTEIN 
3661 HARVEY MILK 
3664 RICK STOKES 
3678 HARVEY MILK 
3682 JACK LIRA 
3685 HARVEY MILK 
3688 JACK LIRA 
3693 HARVEY MILK 
3696 JACK LIRA 
3706 DAVID GOODSTEIN 
3710 CLEVE JONES 
3724 DAVID GOODSTEIN 
3731 HARVEY JONES 
3738 PHIL BURTON 
3744 HARVEY MILK 
3754 DAVID GOODSTEIN 
3757 PHIL BURTON 
3763 HARVEY MILK 
3771 RICK STOKES 
3785 DAVID GOODSTEIN 
3788 RICK 
3790 HARVEY MILK 
3795 DAVID GOODSTEIN 
3806 HARVEY MILK 
3814 CLEVE JONES 
3830 CLEVE JONES 
3849 JIM RIVALDO 
3855 HARVEY MILK 
3869 DICK PABICH 
3873 HARVEY MILK 
3885 ANNE KRONENBERG 
3888 SCOTT SMITH 
3891 HARVEY MILK 
3894 JIM RIVALDO 
3908 HARVEY MILK 
3917 ANNE KRONENBERG 
3921 DICK PABICH 
3924 HARVEY MILK 
3929 BEAT 
3933 CLEVE JONES 
3944 HARVEY MILK 
3948 SCOTT SMITH 
3952 HARVEY MILK 
3956 SCOTT SMITH 
3977 HARVEY MILK 
3981 SCOTT SMITH 
3990 HARVEY MILK 
